id,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
232a5a8462ce2eaad3d227bf5597c857,Jordan Love,GNB,23,qb,6,1,0-1-0,36,62,58.1,411,2,3.2,3,4.8,22,62,6.6,5.1,11.4,68.5,68.7,31.4,3,23,4.6,5.97,4.51,,
9753baa904ded8427d5d7f67c240cead,P.J. Walker,CAR,26,qb,5,1,1-0-0,36,66,54.5,362,1,1.5,3,4.5,19,24,5.5,3.7,10.1,72.4,56.5,19.3,7,47,9.6,4.32,2.74,,
67de44988d6d67d0941a46267ac62957,Joe Flacco,NYJ,36,qb,2,1,0-1-0,27,42,64.3,338,3,7.1,0,0,14,62,8.0,9.5,12.5,169.0,113.0,43.5,2,13,4.5,7.39,8.75,,
13f919fc4c09e5743be38c3311993f6f,Mason Rudolph,PIT,26,qb,2,1,0-0-1,35,58,60.3,277,1,1.7,1,1.7,16,36,4.8,4.3,7.9,138.5,70.8,39.5,0,0,0,4.78,4.34,1,0
8eeaefcec8506c4650c387ffefc3d99b,Nick Foles ,CHI,32,qb,1,1,1-0-0,24,35,68.6,250,1,2.9,0,0,14,30,7.1,7.7,10.4,250.0,98.5,45.6,4,21,10.3,5.87,6.38,1,1
21d266698233d17c776ea725bf2da5db,Brian Hoyer,NWE,36,,5,0,,9,11,81.8,227,1,9.1,0,0,8,48,20.6,22.5,25.2,45.4,149.1,97.4,0,0,0,20.64,22.45,,
9e502da888cd260260592cd9a1f2fcb5,Jake Fromm,NYG,23,qb,3,2,0-2-0,27,60,45,210,1,1.7,3,5,10,36,3.5,1.6,7.8,70.0,38.9,15.4,6,33,9.1,2.68,0.94,,
6dd0bfbf60622663225a24d377c330fc,Garrett Gilbert,WAS,30,qb,1,1,0-1-0,20,31,64.5,194,0,0,0,0,8,46,6.3,6.3,9.7,194.0,81.9,39.6,2,20,6.1,5.27,5.27,,
a68240526ecc2c6c6e054569adeef9df,Sean Mannion,MIN,29,qb,1,1,0-1-0,22,36,61.1,189,1,2.8,0,0,8,30,5.3,5.8,8.6,189.0,84.1,33.5,2,15,5.3,4.58,5.11,,

081cfd1b8710c2a4b9133fcf95d43b90,Brandon Allen,CIN,29,qb,6,1,0-1-0,17,34,50,149,2,5.9,0,0,5,26,4.4,5.6,8.8,24.8,81.6,8.4,4,33,10.5,3.05,4.11,0,1
8db80027e860100284795e370fe316ff,Nick Mullens,CLE,26,qb,1,1,0-1-0,20,30,66.7,147,1,3.3,0,0,9,25,4.9,5.6,7.4,147.0,89.2,77.6,0,0,0,4.90,5.57,,
9e55ccf20839877cc6fc84555d83b4e1,Ian Book,NOR,23,qb,1,1,0-1-0,12,20,60,135,0,0,2,10,5,56,6.8,2.3,11.3,135.0,40.6,2.2,8,54,28.6,2.89,-0.32,,
91c4168378f870d78cad8c66f7a6f889,Kyle Allen,WAS,25,,2,0,,12,19,63.2,120,1,5.3,0,0,6,19,6.3,7.4,10.0,60.0,98.6,24.6,2,5,9.5,5.48,6.43,,
3cf49f37ecc70d0b7133703d7089345f,Cedrick Wilson Jr.,DAL,26,wr,16,4,,3,3,100,88,0,0,0,0,3,35,29.3,29.3,29.3,5.5,118.7,99.9,0,0,0,29.33,29.33,,
7cbe2b7bbfa529dd27f8b301345373fd,Chad Henne,KAN,36,,4,0,,11,16,68.8,82,0,0,0,0,6,17,5.1,5.1,7.5,20.5,80.7,69.2,0,0,0,5.13,5.13,,
